SMILES;MW;LogP;HBD;HBA;TPSA;RotatableBonds;Lipinski;Veber;PAINS;Brenk;Status
BrC1=CC=C(F)C(C(OC)=O)=C1;233.03599999999994;2.3748000000000005;0.0;2.0;26.3;1.0;True;True;False;False;
CC1(C)CCC(C)(C)C2=C1C=C(C)C(C3(CC3)C4=CC=C(C(O)=O)C=N4)=C2;363.50100000000003;5.517120000000006;1.0;2.0;50.19;3.0;True;True;False;False;
FC1=C(F)C(C(OC)=O)=C(F)C(F)=C1Br;287.006;2.7921000000000005;0.0;2.0;26.3;1.0;True;True;False;True;
CC1(C)CCC(C)(C)C2=C1C=C(C)C(C(C3=CC=C(C(O)=O)C=N3)=C)=C2;349.4740000000001;5.498720000000006;1.0;2.0;50.19;3.0;True;True;False;False;
O=C(C[N+]1=CSC=C1)C2=CC=CC=C2.[Br-];284.178;-1.0774999999999997;0.0;2.0;20.95;3.0;True;True;False;True;
OCCCC1CCNCC1;143.23;0.7585;2.0;2.0;32.26;3.0;True;True;False;False;
O=C(NCC(N(CC1=CC=C(CN)C=C1)CC2=CC=CC(Br)=C2)=O)NC3=CC=C(C(N)=O)C=C3;524.4190000000002;3.3572000000000006;4.0;4.0;130.55;9.0;True;True;False;False;
O=C(NCC(N(CC1=CC=C(CN)C=C1)CC2=CC=C(Cl)C(Cl)=C2)=O)NC3=CC=C(C(N)=O)C=C3;514.4130000000002;3.901500000000002;4.0;4.0;130.55;9.0;True;True;False;False;
O=C(CCCCCCCCNCC(OCC)=O)OC;273.373;2.0427999999999997;1.0;5.0;64.63;12.0;True;False;False;True;
NC1=NC=C(C#N)C=N1;120.115;-0.06951999999999997;1.0;4.0;75.59;0.0;True;True;False;False;
O=C(OCC)CNC(NCCCCCCNC(NCC(OCC)=O)=O)=O;374.43800000000016;0.27140000000000275;4.0;6.0;134.85999999999999;13.0;True;False;False;True;
O=C1NC(/C(S1)=C/C2=CC(OCCOC3=C(C=CC=C4)C4=CC(/C=C(S5)/C(NC5=O)=O)=C3)=C(C=CC=C6)C6=C2)=O;568.6320000000002;6.098600000000005;2.0;8.0;110.79999999999998;7.0;False;True;False;True;
